UiD,DADA_Id,Plate,PosNum,PosWell,Samples,#Pots,Lines,Genotypes,Background,Fractions,Tray,Group,Rep
52,P03.bc1,3,1,A,52L,52,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,3,9,1
163,P03.bc2,3,1,B,13S,13,phr1,phr1,Col-0,Soil,2,6,1
2,P03.bc3,3,1,C,2L,2,Col-0,Col-0,Col-0,Leaf,4,1,1
212,P03.bc4,3,1,D,62S,62,Line 2,"pht1,1;1,4",WS,Soil,3,13,1
146,P03.bc5,3,1,E,74S,74,Bulk soil,Bulk soil,Bulk soil,Soil,3,17,1
109,P03.bc6,3,1,F,37R,37,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Root,1,10,1
97,P03.bc7,3,1,G,25R,25,phr1/phl1,phr1/phl1,Col-0,Root,2,7,1
147,P03.bc8,3,1,H,75S,75,Bulk soil,Bulk soil,Bulk soil,Soil,3,17,1
88,P03.bc9,3,2,A,16R,16,phr1,phr1,Col-0,Root,4,6,1
138,P03.bc10,3,2,B,66R,66,Line 2,"pht1,1;1,4",WS,Root,2,13,1
