UiD,DADA_Id,Plate,PosNum,PosWell,Samples,#Pots,Lines,Genotypes,Background,Fractions,Tray,Group,Rep
440,P02.bc50,2,7,B,62S,62,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,1,8,2
318,P02.bc51,2,7,C,18R,18,Line 2,Si81,Col-0,Root,2,3,2
371,P02.bc52,2,7,D,71R,71,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Root,2,9,2
281,P02.bc53,2,7,E,59L,59,Line 9,"pht1,4",WS,Leaf,4,14,2
307,P02.bc54,2,7,F,7R,7,WS,WS,WS,Root,3,2,2
322,P02.bc55,2,7,G,22R,22,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Root,1,11,2
285,P02.bc56,2,7,H,63L,63,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Leaf,2,8,2
299,P02.bc57,2,8,A,77L,77,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,4,10,2
364,P02.bc58,2,8,B,64R,64,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,1,8,2
306,P02.bc59,2,8,C,6R,6,Col-0,Col-0,Col-0,Root,4,1,2
262,P02.bc60,2,8,D,40L,40,Line 6,Si81psl1,Col-0,Leaf,1,4,2
338,P02.bc61,2,8,E,38R,38,Line 6,Si81psl1,Col-0,Root,3,4,2
418,P02.bc62,2,8,F,40S,40,Line 6,Si81psl1,Col-0,Soil,1,4,2
445,P02.bc63,2,8,G,67S,67,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Soil,4,9,2
382,P02.bc64,2,8,H,4S,4,Col-0,Col-0,Col-0,Soil,5,1,2
310,P02.bc65,2,9,A,10R,10,WS,WS,WS,Root,3,2,2
434,P02.bc66,2,9,B,56S,56,Line 9,"pht1,4",WS,Soil,4,14,2
268,P02.bc67,2,9,C,46L,46,Line 7,"pht1,4/SAIL_1225_G08",Col-0,Leaf,2,16,2
438,P02.bc68,2,9,D,60S,60,Line 9,"pht1,4",WS,Soil,1,14,2
362,P02.bc69,2,9,E,62R,62,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,1,8,2
312,P02.bc70,2,9,F,12R,12,WS,WS,WS,Root,4,2,2
407,P02.bc71,2,9,G,29S,29,Line 4,"pht1,4/S1-L11_138643",Col-0,Soil,2,15,2
258,P02.bc72,2,9,H,36L,36,Line 5,"pht1,1;1,4",WS,Leaf,4,13,2
431,P02.bc73,2,10,A,53S,53,Line 8,"pht1,1",Col-0,Soil,3,12,2
294,P02.bc74,2,10,B,72L,72,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,5,9,2
296,P02.bc75,2,10,C,74L,74,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,3,10,2
229,P02.bc76,2,10,D,7L,7,WS,WS,WS,Leaf,3,2,2
378,P02.bc77,2,10,E,78R,78,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Root,2,10,2
333,P02.bc78,2,10,F,33R,33,Line 5,"pht1,1;1,4",WS,Root,4,13,2
308,P02.bc79,2,10,G,8R,8,WS,WS,WS,Root,4,2,2
456,P02.bc80,2,10,H,78S,78,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,2,10,2
451,P02.bc81,2,11,A,73S,73,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,2,10,2
404,P02.bc82,2,11,B,26S,26,Line 4,"pht1,4/S1-L11_138643",Col-0,Soil,1,15,2
356,P02.bc83,2,11,C,56R,56,Line 9,"pht1,4",WS,Root,4,14,2
313,P02.bc84,2,11,D,13R,13,Line 2,Si81,Col-0,Root,1,3,2
348,P02.bc85,2,11,E,48R,48,Line 7,"pht1,4/SAIL_1225_G08",Col-0,Root,1,16,2
316,P02.bc86,2,11,F,16R,16,Line 2,Si81,Col-0,Root,4,3,2
430,P02.bc87,2,11,G,52S,52,Line 8,"pht1,1",Col-0,Soil,4,12,2
439,P02.bc88,2,11,H,61S,61,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,3,8,2
368,P02.bc89,2,12,A,68R,68,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Root,3,9,2
358,P02.bc90,2,12,B,58R,58,Line 9,"pht1,4",WS,Root,1,14,2
350,P02.bc91,2,12,C,50R,50,Line 8,"pht1,1",Col-0,Root,3,12,2
